Rank,School,Name,Adjusted Rating,Deviation,Matches,Rating,Hash,Aff Win Rate,Neg Win Rate,Aff Elim Win Rate,Neg Elim Win Rate
69,UTD,Hoch & Ravi,1224.8455779753704,142.98424010711489,8,1510.8140581896,57df5a7ac84a78a24587895d27e5e007afb1593e2b1e3b4d70ed0864944dfb0a,50.0,50.0,,
70,Emory,Johnston & Ravikumar,1218.00089656645,146.83402209625964,8,1511.6689407589693,654ce7a5de6f217ab1862efdca5052b771d6dd283e486e1926c14e9c9d5fb56b,100.0,0.0,,
71,UC Berkeley,Gilrain-Lennon & Situ,1208.8748723212007,144.23022742512745,8,1497.3353271714557,91da3fb46c024cec610795b4521a650eeac61f2a0ca2d4559ef722695170ff5a,100.0,0.0,,
72,Southern California,Dollinger & Presley,1206.2323593432363,146.63003567332638,8,1499.492430689889,0d90877cc1f296e07665c9ae4a5623797eaf4f950e62c2e333cc73fbebaafe9b,25.0,75.0,,
73,Emory,So & Wang,1202.942322019583,146.66740861782057,8,1496.277139255224,7ccad23e088f12a8c1dfd24cf28c4550bfb1d86aaf7edd286c3d8ac22e843fbd,75.0,25.0,,
74,Western Kentucky,Carter & Schintgen,1192.1744017524393,148.18387666838836,8,1488.542155089216,744560f8c33e0d0a448632a483977ebac5227fa0824d4430a1534de3d2df9854,50.0,50.0,,
75,MoState,Cooper & Neal,1182.5677917742878,139.85545354629502,8,1462.278698866878,6edfe1413858ce6252418a320158debec706a13df88b6e5c47fdc5bbf333a29c,75.0,25.0,,
76,Georgia,Kaidar-Heafetz & Lackey,1177.9618114638724,153.3547212239062,7,1484.671253911685,3725080e25225a404e5bf849c4f60fbcda1ed98b414112b01a38710ef0bcf378,25.0,66.67,,
77,Kansas,Brown & Suleman,1176.7149384525117,143.12713493991373,8,1462.9692083323391,b29df009ef64a05e69a9ade5fa37f60d4985be1b4434d757a05484a5bb702a07,25.0,75.0,,
78,Wichita State,Griffith & Mallett,1173.3615664323625,225.27241774353894,3,1623.9064019194402,0aacc3112fc05221ea600a61bba1d078265903450c910fe9c3796e6aec48a92e,100.0,50.0,,
79,Emory,Mansoor & Walsh,1169.9814493675542,143.78383682255878,8,1457.5491230126718,54aaa935161ebc94c720a3da49039c9c7f0b1e1d535d1b976511313a9daaf839,25.0,75.0,,
80,Wake Forest,Laforest & Williams,1166.9474325688489,142.4095365241675,8,1451.7665056171838,7efe89a4a28ff583ff10f60c278987b6a2be4b0580825f7a677f93866296f83a,50.0,50.0,,
81,Michigan,Apfaltrer & Ryan,1165.6149734616279,143.03245736594863,8,1451.6798881935251,ad2fcbe638b6d2ad49de0483b4e826fe12681369b07f20f6b9f6ab0de976d421,50.0,50.0,,
82,Emory,Charabuddi & Shaeffer,1164.2258594693747,140.80559344268696,8,1445.8370463547485,ac7b643f275a8e5f4bc05147442b6921f95a005aaa39e4717c9dc890ba0ec256,75.0,25.0,,
83,Michigan,Furtek & Pazona,1160.3682589968212,140.6243249410301,8,1441.6169088788813,8434a7a3ae48c2453dc1d528a07e8818592371307abb1a783bc224f97bbcabbc,100.0,0.0,,
84,Baylor,Benton & Keeler,1149.9960392231876,139.60959846326477,8,1429.2152361497172,18ed9c867c539ae83f82c3eac3825d5205c71926404150d4cedaa4f3fd3c2280,50.0,50.0,,
85,Wake Forest,Hale & Namikas,1149.9278910215858,141.5910981319923,8,1433.1100872855704,70c31a627e475b5abc94e67355295b2cab92c3e908c64e03694b3e99e38db5aa,50.0,50.0,,
86,Georgetown,Ciancanelli & Li,1138.4291651275134,141.0243430947241,8,1420.4778513169617,77ab020c0d37ee6e22eb011a64aff2ed810d3be1dcabd459e7211539f15f710f,75.0,25.0,,
87,Baylor,Arroyo & Phillips,1133.2756706650207,146.19938898056245,8,1425.6744486261455,1da1a57fb8bb6aed411ded3732932c457c150100222e9d05daaf7da2113a46eb,50.0,50.0,,
88,Kansas,LaPoint & Pace,1118.2661162018858,141.15414438540455,8,1400.5744049726948,c7aa55ccc04d60ad54e4ca8c8b7b193476f58a804c1ad5a11e664f16e7458457,50.0,25.0,,
89,Gonzaga,Murray & Pascas,1083.1167714720168,140.42227080682864,8,1363.9613130856742,15a96da80172cd981662e75d2061b20587edade71b9bfdabc39764eb1330e749,25.0,50.0,,
90,Wyoming,Hawley & Widi,1077.9486282270364,139.9112398067686,8,1357.7711078405737,8e4f451f983f8be785955dff4dfc5ef4b9e1092290e76d195a5e218d5ddfd7a0,50.0,25.0,,
91,Wake Forest,Prabhakar & Timsah,1069.2064966522282,144.95782635840496,8,1359.1221493690382,4abca89a3148d0be2da749e68c291cd312abe605a7675748ae038d340f08b80f,25.0,50.0,,
92,Georgetown,Valame & Xiao,1068.206966713424,139.5916758106598,8,1347.3903183347436,4c4d081326eea5a4dd94846a873a0c85212588ca8e50ed18e1dc1bdb3ac94fcc,25.0,50.0,,
93,Kansas,Bauman & Persson,1059.0134770546038,140.99405692522944,8,1341.0015909050626,b84231dc8eef57def6526055fa30bd4506b2a2af56ba38f7391e22bbba31e2d5,25.0,50.0,,
94,Kansas,Fordyce & Hasiuk,1048.0305720043466,139.64539181049435,8,1327.3213556253354,9bd839b4d62c77eec9876b4d0638abf600ff99929e435267659c1d2f6b369ea7,75.0,0.0,,
95,Indiana,Fish & Truemper,1047.9800515908896,141.21488387675143,8,1330.4098193443924,523398fee3c47263deb3c956dd05b15d650c3df156b872a84ed45ddb06345cf1,25.0,50.0,,
96,Emory,Chen & Sterenberg,1046.1688492989801,141.4663784437188,8,1329.1016061864177,61017ca4bf7077b7ca51a174444b61a312fe23f8c8d35abccacb0268df83fef0,25.0,50.0,,
97,Dartmouth,Rao & Song,1042.4839988593642,141.3836942991011,8,1325.2513874575664,acc944e2a16db657d635b3b29d82d81a114e216a6cb0e9597ff90ec996ccf4b9,25.0,50.0,,
98,Michigan,Athanassiou & Davidov,1041.1602399237745,143.9831339411159,8,1329.1265078060062,7febb0727dd301fb865557da81cc14981fe4c840713b2577f3713001e8633379,25.0,50.0,,
99,Emory,Cannaday & Feldman,1030.8469024478625,140.3924476564555,8,1311.6317977607735,df3610bb9775ef4c75a923f0ef0ba3ca501d82088c5ef40a0e69c04c3b0ec342,50.0,25.0,,
100,Dartmouth,Hatton & Hilario-Peralta,1010.2983145867864,139.92142487393977,8,1290.141164334666,593d83b227057c3f8414dde6dfa83b5afbb769cb5890cb70ba54b6c7da34def6,75.0,0.0,,
101,Kansas State,Day & Draeger,1001.6454486640708,140.91735235225877,8,1283.4801533685884,d30d2ebd2968db225ef46de4cce60d79f5e6b069224ea7639cba736099c92199,75.0,0.0,,
102,Texas,Garza & Stevenson,1000.5239689022155,145.12720252873808,8,1290.7783739596916,a2e0fe3893df3689beb2ff09ca17e57792e264235da3abb5b72b7b410ebd10f5,25.0,50.0,,
103,Michigan,Baba & Ledesma,999.2427803350395,142.50164205979252,8,1284.2460644546245,74c80599c6f6a69dbba28bdd20593c7e595eb913a769995542c2a61ad7080467,50.0,25.0,,
